City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,alyangula,-13.8483,136.4192,86.7,63,36,13.15,AU,1635033764
282,arlit,18.7369,7.3853,84.4,14,6,8.32,NE,1635033529
283,sao filipe,14.8961,-24.4956,79.2,69,9,8.48,CV,1635033769
284,lakhisarai,25.1768,86.0932,69.78,78,1,4.0,IN,1635033771
285,verkh-usugli,52.7,115.1667,28.13,80,67,2.35,RU,1635033773
286,sri aman,1.2376,111.4621,75.25,97,96,1.16,MY,1635033775
287,fairbanks,64.8378,-147.7164,39.31,77,88,1.32,US,1635033532
288,makakilo city,21.3469,-158.0858,80.29,66,7,16.58,US,1635033780
289,vestmannaeyjar,63.4427,-20.2734,47.35,83,100,15.19,IS,1635033784
290,bengkulu,-3.8004,102.2655,77.23,86,90,2.55,ID,1635033787
291,flinders,-34.5833,150.8552,71.8,64,70,7.0,AU,1635033789
292,sabzevar,36.2126,57.6819,52.7,20,0,4.12,IR,1635033791
293,adrar,20.5022,-10.0711,82.89,16,35,7.34,MR,1635033794
294,hamilton,39.1834,-84.5333,56.98,83,100,1.36,US,1635033567
295,avera,33.194,-82.5271,65.71,54,0,3.6,US,1635033802
296,soledade,-28.8183,-52.5103,56.12,97,100,1.95,BR,1635033805
297,oksfjord,70.2396,22.3479,31.12,92,100,6.24,NO,1635033807
298,ixtapa,20.7,-105.2,85.23,79,75,8.05,MX,1635033809
299,kieta,-6.2167,155.6333,84.65,71,49,5.79,PG,1635033814
300,egvekinot,66.3167,-179.1667,11.84,84,100,5.91,RU,1635033816
301,muros,42.7762,-9.0603,57.83,95,3,5.14,ES,1635033818
302,berbera,10.4396,45.0143,82.47,61,34,7.61,SO,1635033820
303,narsaq,60.9167,-46.05,34.02,57,60,5.12,GL,1635033823
304,berlevag,70.8578,29.0864,36.1,65,100,24.58,NO,1635033827
305,sabang,5.8933,95.3214,80.89,76,97,2.39,ID,1635033829
306,kenai,60.5544,-151.2583,47.03,65,20,18.41,US,1635033832
307,srednekolymsk,67.45,153.6833,-6.57,92,37,4.68,RU,1635033834
308,pierre,44.3683,-100.351,52.05,54,90,5.99,US,1635033838
309,mantua,45.1667,10.7833,57.74,78,36,8.99,IT,1635033841
310,warmbad,-28.45,18.7333,53.64,59,0,7.4,NA,1635033843
311,kozhva,65.1073,57.0459,24.58,91,21,7.2,RU,1635033845
312,taoudenni,22.6783,-3.9836,83.03,20,0,8.14,ML,1635033848
313,bredasdorp,-34.5322,20.0403,48.27,76,24,2.06,ZA,1635033850
314,jumla,29.2747,82.1838,44.98,82,1,4.72,NP,1635033852
315,maua,-23.6678,-46.4614,82.69,56,75,8.21,BR,1635033570
316,saint george,37.1041,-113.5841,74.62,26,1,1.01,US,1635033857
317,fairlie,55.756,-4.8556,55.11,91,100,8.01,GB,1635033859
318,tegh,39.5579,46.4772,45.59,49,0,5.35,AM,1635033861
319,tautira,-17.7333,-149.15,80.62,84,100,17.85,PF,1635033753
320,ulaanbaatar,47.9077,106.8832,32.74,42,68,0.98,MN,1635033866
321,tual,-5.6667,132.75,84.02,74,88,14.23,ID,1635033868
322,poum,-20.2333,164.0167,74.21,78,5,7.4,NC,1635033870
323,kemijarvi,66.7131,27.4306,16.81,95,46,3.96,FI,1635033873
324,esso,55.9333,158.7,28.24,93,99,4.14,RU,1635033875
325,mazatlan,23.2167,-106.4167,86.02,84,1,4.0,MX,1635033796
326,tomatlan,19.9333,-105.25,79.2,91,88,4.81,MX,1635033885
327,isangel,-19.55,169.2667,80.71,78,75,9.22,VU,1635033888
328,mehamn,71.0357,27.8492,35.89,66,100,22.39,NO,1635033890
329,vila velha,-20.3297,-40.2925,73.35,88,75,9.22,BR,1635033892
330,micheweni,-4.9667,39.8333,75.88,80,21,4.27,TZ,1635033895
331,saint-augustin,51.226,-58.6502,40.64,92,100,14.85,CA,1635033897
332,irbeyskoye,55.6428,95.4522,41.88,62,100,19.44,RU,1635033899
333,jacobina,-11.1806,-40.5183,72.97,85,59,2.55,BR,1635033901
334,iqaluit,63.7506,-68.5145,31.73,80,90,11.01,CA,1635033904
335,kidal,18.4411,1.4078,86.81,30,48,2.75,ML,1635033907
336,zanjan,36.6736,48.4787,47.05,48,7,1.23,IR,1635033909
337,half moon bay,37.4636,-122.4286,68.7,71,90,1.01,US,1635033616
338,angoche,-16.2325,39.9086,73.58,83,30,9.93,MZ,1635033913
339,baruun-urt,46.6806,113.2792,33.84,43,21,7.65,MN,1635033916
340,najran,17.4924,44.1277,63.05,31,8,1.32,SA,1635033918
341,lebanon,36.2081,-86.2911,64.96,68,90,0.0,US,1635033684
342,anadyr,64.75,177.4833,0.1,84,40,8.01,RU,1635033924
343,maceio,-9.6658,-35.7353,79.54,82,29,14.16,BR,1635033751
344,red bank,40.3471,-74.0643,59.86,79,90,1.01,US,1635033929
345,tahta,26.7693,31.5021,69.3,51,2,10.36,EG,1635033931
346,flin flon,54.7682,-101.865,38.32,72,100,10.09,CA,1635033933
347,belogorsk,50.9158,128.4611,40.21,74,10,3.71,RU,1635033938
348,sfantu gheorghe,45.8667,25.7833,44.92,66,77,5.46,RO,1635033940
349,atikokan,48.7555,-91.6216,35.74,74,99,4.0,CA,1635033942
350,anchorage,61.2181,-149.9003,47.86,75,20,3.0,US,1635033901
351,udachnyy,66.4167,112.4,26.08,93,84,20.85,RU,1635033947
352,awjilah,29.1081,21.2869,71.08,37,25,12.01,LY,1635033951
353,clyde river,70.4692,-68.5914,18.77,81,95,14.05,CA,1635033953
354,katherine,-14.4667,132.2667,86.32,54,5,9.22,AU,1635033955
355,tygda,53.1167,126.3333,37.15,78,12,4.07,RU,1635033958
356,bani walid,31.7566,13.9942,76.1,42,99,8.08,LY,1635033960
357,dondo,-19.6094,34.7431,71.44,87,0,3.29,MZ,1635033962
358,prince rupert,54.3161,-130.3201,43.84,88,91,9.13,CA,1635033965
359,iquique,-20.2208,-70.1431,60.84,74,11,6.29,CL,1635033937
360,ivanteyevka,55.9711,37.9208,41.34,95,68,8.63,RU,1635033969
361,storforshei,66.4043,14.5233,30.65,91,100,3.91,NO,1635033934
362,fare,-16.7,-151.0167,76.5,83,100,9.84,PF,1635033974
363,valerianovsk,58.76,59.5522,40.51,82,46,7.94,RU,1635033976
364,gerede,40.8008,32.1969,43.12,79,94,2.24,TR,1635033978
365,dingle,10.9995,122.6711,78.4,89,100,4.09,PH,1635033981
366,keuruu,62.2667,24.7,25.81,97,15,2.21,FI,1635033983
